regiao,ordem,nome_original,novo_nome,categoria,largura,altura,origem_x,origem_y
regiao_01_glacial,1,regiao_01_glacial_item_001.webp,piso de neve 001.webp,piso de neve,117,108,13,12
regiao_01_glacial,2,regiao_01_glacial_item_002.webp,piso de neve 002.webp,piso de neve,111,108,136,12
regiao_01_glacial,3,regiao_01_glacial_item_003.webp,piso de neve 003.webp,piso de neve,113,108,252,11
regiao_01_glacial,4,regiao_01_glacial_item_004.webp,piso de gelo 001.webp,piso de gelo,112,108,369,11
regiao_01_glacial,5,regiao_01_glacial_item_005.webp,piso de gelo 002.webp,piso de gelo,112,108,486,11
regiao_01_glacial,6,regiao_01_glacial_item_006.webp,penhasco gelado 001.webp,penhasco gelado,133,129,606,12
regiao_01_glacial,7,regiao_01_glacial_item_007.webp,penhasco gelado 002.webp,penhasco gelado,118,120,741,12
regiao_01_glacial,8,regiao_01_glacial_item_008.webp,penhasco gelado 003.webp,penhasco gelado,106,133,865,10
regiao_01_glacial,9,regiao_01_glacial_item_009.webp,penhasco gelado 004.webp,penhasco gelado,115,134,969,9
regiao_01_glacial,10,regiao_01_glacial_item_010.webp,penhasco gelado 005.webp,penhasco gelado,152,131,1088,15
regiao_01_glacial,11,regiao_01_glacial_item_011.webp,penhasco gelado 006.webp,penhasco gelado,117,107,13,122
regiao_01_glacial,12,regiao_01_glacial_item_012.webp,penhasco gelado 007.webp,penhasco gelado,112,107,135,122
regiao_01_glacial,13,regiao_01_glacial_item_013.webp,penhasco gelado 008.webp,penhasco gelado,114,107,251,122
regiao_01_glacial,14,regiao_01_glacial_item_014.webp,penhasco gelado 009.webp,penhasco gelado,112,106,369,122
regiao_01_glacial,15,regiao_01_glacial_item_015.webp,penhasco gelado 010.webp,penhasco gelado,112,107,486,121
regiao_01_glacial,16,regiao_01_glacial_item_016.webp,penhasco gelado 011.webp,penhasco gelado,115,130,817,127
regiao_01_glacial,17,regiao_01_glacial_item_017.webp,penhasco gelado 012.webp,penhasco gelado,126,111,609,142
regiao_01_glacial,18,regiao_01_glacial_item_018.webp,penhasco gelado 013.webp,penhasco gelado,79,107,738,144
regiao_01_glacial,19,regiao_01_glacial_item_019.webp,penhasco gelado 014.webp,penhasco gelado,110,116,929,139
regiao_01_glacial,20,regiao_01_glacial_item_020.webp,montanha nevada 001.webp,montanha nevada,204,130,1038,141
regiao_01_glacial,21,regiao_01_glacial_item_021.webp,margem gelada 001.webp,margem gelada,116,107,14,232
regiao_01_glacial,22,regiao_01_glacial_item_022.webp,margem gelada 002.webp,margem gelada,112,107,135,231
regiao_01_glacial,23,regiao_01_glacial_item_023.webp,margem gelada 003.webp,margem gelada,112,106,252,232
regiao_01_glacial,24,regiao_01_glacial_item_024.webp,margem gelada 004.webp,margem gelada,113,107,369,231
regiao_01_glacial,25,regiao_01_glacial_item_025.webp,margem gelada 005.webp,margem gelada,113,107,486,231
regiao_01_glacial,26,regiao_01_glacial_item_026.webp,margem gelada 006.webp,margem gelada,122,127,609,260
regiao_01_glacial,27,regiao_01_glacial_item_027.webp,margem gelada 007.webp,margem gelada,125,126,734,260
regiao_01_glacial,28,regiao_01_glacial_item_028.webp,caverna de gelo 001.webp,caverna de gelo,177,127,860,264
regiao_01_glacial,29,regiao_01_glacial_item_029.webp,caverna de gelo 002.webp,caverna de gelo,111,126,1042,265
regiao_01_glacial,30,regiao_01_glacial_item_030.webp,caverna de gelo 003.webp,caverna de gelo,91,117,1160,274
regiao_01_glacial,31,regiao_01_glacial_item_031.webp,lago congelado 001.webp,lago congelado,116,108,14,343
regiao_01_glacial,32,regiao_01_glacial_item_032.webp,lago congelado 002.webp,lago congelado,112,108,135,343
regiao_01_glacial,33,regiao_01_glacial_item_033.webp,lago congelado 003.webp,lago congelado,113,109,252,343
regiao_01_glacial,34,regiao_01_glacial_item_034.webp,lago congelado 004.webp,lago congelado,112,109,369,343
regiao_01_glacial,35,regiao_01_glacial_item_035.webp,lago congelado 005.webp,lago congelado,113,108,486,343
regiao_01_glacial,36,regiao_01_glacial_item_036.webp,pinheiro nevado 001.webp,pinheiro nevado,101,167,591,388
regiao_01_glacial,37,regiao_01_glacial_item_037.webp,pinheiro nevado 002.webp,pinheiro nevado,87,131,756,388
regiao_01_glacial,38,regiao_01_glacial_item_038.webp,pinheiro nevado 003.webp,pinheiro nevado,61,113,694,398
regiao_01_glacial,39,regiao_01_glacial_item_039.webp,pinheiro nevado 004.webp,pinheiro nevado,64,109,919,401
regiao_01_glacial,40,regiao_01_glacial_item_040.webp,pinheiro nevado 005.webp,pinheiro nevado,85,116,1064,398
regiao_01_glacial,41,regiao_01_glacial_item_041.webp,pinheiro nevado 006.webp,pinheiro nevado,95,117,1154,400
regiao_01_glacial,42,regiao_01_glacial_item_042.webp,pinheiro nevado 007.webp,pinheiro nevado,78,110,843,402
regiao_01_glacial,43,regiao_01_glacial_item_043.webp,pinheiro nevado 008.webp,pinheiro nevado,59,98,986,405
regiao_01_glacial,44,regiao_01_glacial_item_044.webp,cerca nevada 001.webp,cerca nevada,137,130,15,462
regiao_01_glacial,45,regiao_01_glacial_item_045.webp,cerca nevada 002.webp,cerca nevada,126,124,164,466
regiao_01_glacial,46,regiao_01_glacial_item_046.webp,cerca nevada 003.webp,cerca nevada,118,113,440,475
regiao_01_glacial,47,regiao_01_glacial_item_047.webp,cerca nevada 004.webp,cerca nevada,121,98,302,487
regiao_01_glacial,48,regiao_01_glacial_item_048.webp,cerca nevada 005.webp,cerca nevada,16,35,562,501
regiao_01_glacial,49,regiao_01_glacial_item_049.webp,arbusto nevado 001.webp,arbusto nevado,68,66,655,507
regiao_01_glacial,50,regiao_01_glacial_item_050.webp,arbusto nevado 002.webp,arbusto nevado,49,46,837,509
regiao_01_glacial,51,regiao_01_glacial_item_051.webp,arbusto nevado 003.webp,arbusto nevado,56,48,983,505
regiao_01_glacial,52,regiao_01_glacial_item_052.webp,arbusto nevado 004.webp,arbusto nevado,52,60,727,511
regiao_01_glacial,53,regiao_01_glacial_item_053.webp,arbusto nevado 005.webp,arbusto nevado,51,38,891,517
regiao_01_glacial,54,regiao_01_glacial_item_054.webp,arbusto nevado 006.webp,arbusto nevado,35,35,947,520
regiao_01_glacial,55,regiao_01_glacial_item_055.webp,arbusto nevado 007.webp,arbusto nevado,44,34,1041,519
regiao_01_glacial,56,regiao_01_glacial_item_056.webp,arbusto nevado 008.webp,arbusto nevado,48,37,1093,516
regiao_01_glacial,57,regiao_01_glacial_item_057.webp,arbusto nevado 009.webp,arbusto nevado,41,39,1150,516
regiao_01_glacial,58,regiao_01_glacial_item_058.webp,arbusto nevado 010.webp,arbusto nevado,42,28,786,526
regiao_01_glacial,59,regiao_01_glacial_item_059.webp,arbusto nevado 011.webp,arbusto nevado,33,24,1200,528
regiao_01_glacial,60,regiao_01_glacial_item_060.webp,arbusto nevado 012.webp,arbusto nevado,15,27,563,538
regiao_01_glacial,61,regiao_01_glacial_item_061.webp,arbusto nevado 013.webp,arbusto nevado,55,45,588,554
regiao_01_glacial,62,regiao_01_glacial_item_062.webp,arbusto nevado 014.webp,arbusto nevado,92,64,759,555
regiao_01_glacial,63,regiao_01_glacial_item_063.webp,arbusto nevado 015.webp,arbusto nevado,36,60,967,556
regiao_01_glacial,64,regiao_01_glacial_item_064.webp,cristal de gelo 001.webp,cristal de gelo,50,65,1037,553
regiao_01_glacial,65,regiao_01_glacial_item_065.webp,cristal de gelo 002.webp,cristal de gelo,67,50,854,564
regiao_01_glacial,66,regiao_01_glacial_item_066.webp,cristal de gelo 003.webp,cristal de gelo,38,58,932,562
regiao_01_glacial,67,regiao_01_glacial_item_067.webp,cristal de gelo 004.webp,cristal de gelo,54,61,1091,559
regiao_01_glacial,68,regiao_01_glacial_item_068.webp,cristal de gelo 005.webp,cristal de gelo,40,54,1153,563
regiao_01_glacial,69,regiao_01_glacial_item_069.webp,cristal de gelo 006.webp,cristal de gelo,43,56,1201,561
regiao_01_glacial,70,regiao_01_glacial_item_070.webp,cristal de gelo 007.webp,cristal de gelo,53,29,649,574
regiao_01_glacial,71,regiao_01_glacial_item_071.webp,graveto nevado 001.webp,graveto nevado,48,36,704,578
regiao_01_glacial,72,regiao_01_glacial_item_072.webp,graveto nevado 002.webp,graveto nevado,32,36,1000,581
regiao_01_glacial,73,regiao_01_glacial_item_073.webp,torre de vigia 001.webp,torre de vigia,112,244,14,598
regiao_01_glacial,74,regiao_01_glacial_item_074.webp,torre de vigia 002.webp,torre de vigia,94,123,327,600
regiao_01_glacial,75,regiao_01_glacial_item_075.webp,torre de vigia 003.webp,torre de vigia,81,230,133,611
regiao_01_glacial,76,regiao_01_glacial_item_076.webp,torre de vigia 004.webp,torre de vigia,101,233,217,614
regiao_01_glacial,77,regiao_01_glacial_item_077.webp,torre de vigia 005.webp,torre de vigia,225,105,425,614
regiao_01_glacial,78,regiao_01_glacial_item_078.webp,casa nevada 001.webp,casa nevada,224,165,803,617
regiao_01_glacial,79,regiao_01_glacial_item_079.webp,casa nevada 002.webp,casa nevada,118,160,1034,625
regiao_01_glacial,80,regiao_01_glacial_item_080.webp,casa nevada 003.webp,casa nevada,135,149,660,633
regiao_01_glacial,81,regiao_01_glacial_item_081.webp,casa nevada 004.webp,casa nevada,88,151,1152,635
regiao_01_glacial,82,regiao_01_glacial_item_082.webp,casa nevada 005.webp,casa nevada,182,164,319,725
regiao_01_glacial,83,regiao_01_glacial_item_083.webp,casa nevada 006.webp,casa nevada,179,162,497,726
regiao_01_glacial,84,regiao_01_glacial_item_084.webp,casa nevada 007.webp,casa nevada,137,106,684,782
regiao_01_glacial,85,regiao_01_glacial_item_085.webp,casa nevada 008.webp,casa nevada,126,91,830,796
regiao_01_glacial,86,regiao_01_glacial_item_086.webp,casa nevada 009.webp,casa nevada,129,92,966,796
regiao_01_glacial,87,regiao_01_glacial_item_087.webp,estrutura da aldeia 001.webp,estrutura da aldeia,67,85,1109,806
regiao_01_glacial,88,regiao_01_glacial_item_088.webp,estrutura da aldeia 002.webp,estrutura da aldeia,78,122,1171,799
regiao_01_glacial,89,regiao_01_glacial_item_089.webp,circulo de pedra 001.webp,circulo de pedra,305,192,70,870
regiao_01_glacial,90,regiao_01_glacial_item_090.webp,circulo de pedra 002.webp,circulo de pedra,37,29,363,901
regiao_01_glacial,91,regiao_01_glacial_item_091.webp,circulo de pedra 003.webp,circulo de pedra,92,80,396,896
regiao_01_glacial,92,regiao_01_glacial_item_092.webp,circulo de pedra 004.webp,circulo de pedra,193,163,505,902
regiao_01_glacial,93,regiao_01_glacial_item_093.webp,caixote 001.webp,caixote,44,56,875,903
regiao_01_glacial,94,regiao_01_glacial_item_094.webp,caixote 002.webp,caixote,40,55,970,905
regiao_01_glacial,95,regiao_01_glacial_item_095.webp,rocha 001.webp,rocha,81,157,15,908
regiao_01_glacial,96,regiao_01_glacial_item_096.webp,rocha 002.webp,rocha,33,26,487,914
regiao_01_glacial,97,regiao_01_glacial_item_097.webp,rocha 003.webp,rocha,36,36,716,917
regiao_01_glacial,98,regiao_01_glacial_item_098.webp,rocha 004.webp,rocha,54,32,770,915
regiao_01_glacial,99,regiao_01_glacial_item_099.webp,objeto da aldeia 001.webp,objeto da aldeia,50,51,922,908
regiao_01_glacial,100,regiao_01_glacial_item_100.webp,objeto da aldeia 002.webp,objeto da aldeia,55,54,1020,906
regiao_01_glacial,101,regiao_01_glacial_item_101.webp,objeto da aldeia 003.webp,objeto da aldeia,43,52,1081,906
regiao_01_glacial,102,regiao_01_glacial_item_102.webp,objeto da aldeia 004.webp,objeto da aldeia,38,45,1129,915
regiao_01_glacial,103,regiao_01_glacial_item_103.webp,objeto da aldeia 005.webp,objeto da aldeia,38,39,818,928
regiao_01_glacial,104,regiao_01_glacial_item_104.webp,objeto da aldeia 006.webp,objeto da aldeia,68,57,1173,941
regiao_01_glacial,105,regiao_01_glacial_item_105.webp,objeto da aldeia 007.webp,objeto da aldeia,97,83,742,952
regiao_01_glacial,106,regiao_01_glacial_item_106.webp,objeto da aldeia 008.webp,objeto da aldeia,59,73,368,964
regiao_01_glacial,107,regiao_01_glacial_item_107.webp,objeto da aldeia 009.webp,objeto da aldeia,28,24,718,957
regiao_01_glacial,108,regiao_01_glacial_item_108.webp,objeto da aldeia 010.webp,objeto da aldeia,22,20,834,966
